trial,teammate_id,reward_ep0
0,2,15
1,4,6
2,3,6
3,2,15
4,4,6
5,1,17
6,3,6
7,4,6
8,2,15
9,0,14
10,1,18
11,0,14
12,1,17
13,4,6
14,2,15
15,2,15
16,3,6
17,2,15
18,0,14
19,2,15
20,4,5
21,1,17
22,3,6
23,0,14
24,0,14
25,4,6
26,3,0
27,2,15
28,3,0
29,0,14
30,4,6
31,3,0
32,2,15
33,2,15
34,3,6
35,4,6
36,4,6
37,3,5
38,3,6
39,3,5
40,1,17
41,3,6
42,2,15
43,4,6
44,2,15
45,0,14
46,0,14
47,4,5
48,0,14
49,3,6
50,4,6
51,1,16
52,2,15
53,2,15
54,1,17
55,4,6
56,2,15
57,3,6
58,1,17
59,4,6
60,4,6
61,0,14
62,2,15
63,4,5
64,0,14
65,2,15
66,1,18
67,4,5
68,1,18
69,0,14
70,0,14
71,0,14
72,4,6
73,4,6
74,0,14
75,2,15
76,3,6
77,1,16
78,3,6
79,4,6
80,2,15
81,1,16
82,2,15
83,1,17
84,3,6
85,2,15
86,3,6
87,1,17
88,1,16
89,4,6
90,2,15
91,3,6
92,3,6
93,0,14
94,3,6
95,0,14
96,0,14
97,1,16
98,2,15
99,3,6
