trial,teammate_id,reward_ep0
0,2,17
1,4,6
2,4,6
3,2,17
4,0,1
5,0,1
6,2,17
7,4,6
8,0,1
9,3,7
10,3,7
11,0,1
12,3,7
13,2,17
14,0,1
15,0,1
16,2,17
17,3,7
18,0,0
19,4,6
20,2,16
21,3,7
22,3,7
23,1,15
24,2,17
25,1,14
26,1,15
27,1,15
28,1,15
29,3,7
30,0,0
31,0,1
32,3,7
33,2,17
34,3,0
35,3,7
36,4,6
37,2,17
38,1,15
39,1,15
40,4,6
41,1,15
42,4,6
43,2,17
44,4,6
45,0,0
46,4,6
47,1,16
48,0,0
49,4,6
50,3,7
51,2,17
52,3,0
53,0,0
54,0,1
55,3,7
56,1,15
57,3,7
58,3,7
59,1,15
60,4,6
61,0,1
62,2,17
63,1,15
64,3,7
65,0,1
66,2,17
67,4,6
68,4,0
69,1,15
70,0,1
71,3,7
72,4,6
73,1,15
74,2,17
75,1,15
76,1,16
77,2,17
78,1,15
79,1,15
80,1,15
81,0,0
82,1,15
83,4,6
84,4,6
85,0,0
86,4,6
87,2,17
88,4,6
89,0,1
90,0,1
91,0,1
92,4,6
93,1,15
94,1,15
95,3,0
96,3,0
97,4,6
98,3,7
99,2,17
