Reward,Frames
1,500
1,500
0,500
0,500
0,500
0,500
1,500
1,500
0,500
0,500
0,500
0,500
0,500
1,500
2,500
1,500
0,500
0,500
1,500
0,500
2,500
2,500
2,500
0,500
2,500
0,500
2,500
3,500
0,500
1,500
0,500
0,500
0,500
0,500
0,500
2,500
2,500
2,500
1,500
2,500
1,500
0,500
1,500
0,500
2,500
1,500
0,500
0,500
0,500
1,500
1,500
0,500
0,500
2,500
2,500
3,500
1,500
2,500
2,500
2,500
0,500
1,500
0,500
0,500
1,500
0,500
0,500
0,500
1,500
1,500
1,500
2,500
1,500
0,500
3,500
1,500
2,500
0,500
0,500
0,500
2,500
1,500
2,500
0,500
1,500
2,500
0,500
1,500
2,500
3,500
2,500
2,500
1,500
1,500
2,500
2,500
2,500
2,500
2,500
1,500
5,500
2,500
2,500
4,500
3,500
2,500
0,500
2,500
2,500
4,500
3,500
1,500
2,500
2,500
3,500
1,500
2,500
0,500
2,500
2,500
3,500
2,500
2,500
2,500
2,500
2,500
0,500
0,500
2,500
2,500
0,500
3,500
0,500
2,500
2,500
2,500
2,500
1,500
1,500
3,500
1,500
2,500
3,500
2,500
0,500
1,500
0,500
2,500
0,500
2,500
0,500
2,500
3,500
2,500
0,500
1,500
3,500
2,500
2,500
2,500
1,500
2,500
2,500
1,500
2,500
2,500
3,500
3,500
2,500
2,500
2,500
4,500
2,500
2,500
0,500
2,500
2,500
2,500
3,500
1,500
2,500
2,500
2,500
2,500
2,500
3,500
0,500
3,500
1,500
2,500
2,500
2,500
2,500
0,500
2,500
5,500
3,500
3,500
3,500
1,500
2,500
4,500
2,500
2,500
0,500
2,500
3,500
2,500
0,500
2,500
2,500
2,500
2,500
2,500
0,500
2,500
2,500
2,500
2,500
1,500
2,500
4,500
5,500
2,500
2,500
2,500
1,500
2,500
2,500
5,500
2,500
1,500
2,500
2,500
2,500
2,500
2,500
2,500
0,500
2,500
1,500
2,500
2,500
2,500
2,500
2,500
2,500
1,500
3,500
2,500
4,500
2,500
0,500
2,500
5,500
2,500
3,500
0,500
2,500
0,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
3,500
2,500
2,500
2,500
3,500
0,500
3,500
2,500
3,500
2,500
3,500
2,500
2,500
2,500
2,500
3,500
4,500
2,500
4,500
3,500
2,500
2,500
2,500
4,500
2,500
3,500
7,500
3,500
3,500
3,500
3,500
3,500
2,500
0,500
2,500
2,500
3,500
2,500
3,500
2,500
5,500
7,500
3,500
0,500
2,500
2,500
2,500
2,500
1,500
2,500
3,500
0,500
0,500
2,500
2,500
2,500
5,500
2,500
2,500
2,500
5,500
2,500
3,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
4,500
2,500
3,500
2,500
6,500
2,500
2,500
2,500
6,500
2,500
2,500
2,500
2,500
2,500
0,500
2,500
4,500
4,500
3,500
2,500
4,500
2,500
2,500
2,500
2,500
3,500
2,500
2,500
2,500
2,500
5,500
2,500
2,500
2,500
2,500
4,500
4,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
5,500
2,500
2,500
7,500
2,500
2,500
4,500
4,500
4,500
2,500
4,500
2,500
4,500
2,500
4,500
4,500
7,500
4,500
2,500
2,500
2,500
2,500
2,500
2,500
4,500
2,500
2,500
2,500
2,500
3,500
4,500
2,500
4,500
2,500
2,500
4,500
0,500
4,500
2,500
2,500
7,500
2,500
2,500
4,500
4,500
2,500
2,500
3,500
2,500
2,500
4,500
2,500
2,500
4,500
4,500
4,500
7,500
2,500
2,500
7,500
2,500
2,500
2,500
2,500
2,500
2,500
3,500
2,500
2,500
7,500
8,500
2,500
2,500
2,500
4,500
2,500
2,500
2,500
2,500
4,500
4,500
2,500
2,500
2,500
2,500
2,500
4,500
2,500
2,500
2,500
3,500
4,500
2,500
2,500
2,500
2,500
5,500
4,500
6,500
0,500
2,500
5,500
0,500
3,500
3,500
2,500
4,500
0,500
9,500
2,500
2,500
6,500
9,500
2,500
4,500
2,500
7,500
3,500
6,500
3,500
2,500
5,500
4,500
6,500
2,500
2,500
2,500
2,500
4,500
4,500
4,500
10,500
6,500
2,500
7,500
2,500
4,500
2,500
4,500
7,500
0,500
4,500
8,500
9,500
4,500
7,500
2,500
4,500
4,500
4,500
2,500
7,500
7,500
5,500
4,500
4,500
4,500
2,500
2,500
7,500
4,500
9,500
5,500
7,500
9,500
7,500
4,500
7,500
6,500
2,500
4,500
0,500
2,500
2,500
8,500
2,500
5,500
2,500
10,500
7,500
7,500
4,500
2,500
4,500
3,500
4,500
4,500
9,500
9,500
9,500
7,500
4,500
4,500
9,500
4,500
4,500
2,500
6,500
6,500
8,500
7,500
7,500
2,500
6,500
2,500
6,500
2,500
6,500
6,500
8,500
6,500
2,500
7,500
2,500
7,500
2,500
5,500
6,500
2,500
7,500
1,500
1,500
1,500
4,500
2,500
2,500
2,500
7,500
2,500
8,500
0,500
2,500
2,500
7,500
2,500
2,500
4,500
2,500
2,500
5,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
7,500
2,500
2,500
2,500
2,500
9,500
2,500
2,500
1,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
7,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
7,500
2,500
7,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
7,500
2,500
2,500
2,500
2,500
2,500
7,500
2,500
7,500
2,500
2,500
2,500
6,500
4,500
12,500
2,500
7,500
2,500
7,500
7,500
2,500
2,500
2,500
2,500
2,500
2,500
2,500
9,500
2,500
2,500
2,500
2,500
2,500
2,500
4,500
7,500
6,500
2,500
12,500
2,500
9,500
7,500
2,500
2,500
6,500
2,500
7,500
2,500
2,500
4,500
9,500
2,500
8,500
10,500
6,500
2,500
4,500
2,500
3,500
4,500
8,500
2,500
8,500
7,500
3,500
3,500
2,500
6,500
7,500
10,500
6,500
7,500
8,500
4,500
3,500
8,500
9,500
3,500
9,500
8,500
4,500
8,500
2,500
4,500
9,500
13,500
3,500
8,500
8,500
4,500
7,500
4,500
3,500
3,500
3,500
7,500
3,500
3,500
3,500
4,500
3,500
3,500
4,500
3,500
3,500
3,500
8,500
3,500
0,500
13,500
2,500
12,500
5,500
7,500
3,500
8,500
3,500
3,500
4,500
3,500
7,500
8,500
4,500
5,500
3,500
3,500
8,500
3,500
13,500
8,500
8,500
7,500
8,500
8,500
5,500
8,500
3,500
11,500
12,500
3,500
7,500
8,500
12,500
3,500
8,500
8,500
8,500
8,500
0,500
8,500
9,500
13,500
8,500
3,500
8,500
8,500
4,500
3,500
8,500
7,500
3,500
7,500
8,500
3,500
3,500
10,500
8,500
8,500
12,500
9,500
3,500
3,500
8,500
8,500
3,500
3,500
12,500
3,500
13,500
3,500
3,500
3,500
3,500
3,500
3,500
3,500
3,500
8,500
8,500
3,500
13,500
3,500
3,500
8,500
3,500
3,500
3,500
13,500
3,500
0,500
3,500
8,500
7,500
3,500
3,500
12,500
3,500
9,500
13,500
4,500
3,500
7,500
3,500
2,500
3,500
3,500
3,500
3,500
3,500
3,500
7,500
3,500
2,500
7,500
3,500
3,500
3,500
3,500
2,500
4,500
7,500
7,500
3,500
0,500
8,500
3,500
7,500
3,500
2,500
3,500
2,500
8,500
3,500
7,500
7,500
0,500
3,500
7,500
3,500
8,500
3,500
3,500
3,500
3,500
8,500
7,500
3,500
3,500
3,500
4,500
3,500
3,500
3,500
7,500
10,500
3,500
3,500
8,500
3,500
3,500
13,500
3,500
8,500
7,500
7,500
12,500
3,500
9,500
8,500
6,500
8,500
12,500
11,500
17,500
12,500
3,500
3,500
11,500
12,500
8,500
7,500
7,500
3,500
6,500
12,500
8,500
2,500
2,500
12,500
3,500
11,500
7,500
11,500
7,500
3,500
3,500
12,500
4,500
2,500
11,500
2,500
6,500
3,500
12,500
2,500
6,500
