trial,teammate_id,reward_ep0
0,3,7
1,0,0
2,2,17
3,4,7
4,0,1
5,4,7
6,3,7
7,1,17
8,3,7
9,3,7
10,0,0
11,4,8
12,2,17
13,0,0
14,2,17
15,2,18
16,0,0
17,4,8
18,4,7
19,0,1
20,2,18
21,1,16
22,4,8
23,2,17
24,0,1
25,4,7
26,4,7
27,2,18
28,2,18
29,2,18
30,0,1
31,0,0
32,3,7
33,2,17
34,4,8
35,1,18
36,3,7
37,3,7
38,0,1
39,3,7
40,4,7
41,0,0
42,3,7
43,0,0
44,4,7
45,3,7
46,1,17
47,0,1
48,0,1
49,0,1
50,0,1
51,4,8
52,3,7
53,0,1
54,4,7
55,0,0
56,1,17
57,1,17
58,0,1
59,4,7
60,1,18
61,3,7
62,4,8
63,2,18
64,3,6
65,4,8
66,3,7
67,1,17
68,4,8
69,4,7
70,3,6
71,3,6
72,4,7
73,1,17
74,0,1
75,0,1
76,1,16
77,0,1
78,4,8
79,2,17
80,4,8
81,3,7
82,3,7
83,1,18
84,0,0
85,0,0
86,1,17
87,3,6
88,0,0
89,1,17
90,3,7
91,4,7
92,1,18
93,3,7
94,4,8
95,2,17
96,0,1
97,0,1
98,0,1
99,0,0
